,Population,,,,,,Housing Units,,,,,
Perry County,16648,16784,14393,14642,14890,15358,6867,6452,5206,4685,4376,3870
Pettis County,35437,36378,34137,35120,31577,33336,15443,15262,12919,12719,10862,10318
Phelps County,35248,33633,29567,25396,21504,17437,14715,12916,9992,8459,6419,5050
Pike County,15969,17568,16928,16706,16844,18327,7128,7389,6665,6229,6111,6060
Platte County,57867,46341,32081,23350,14973,13862,24362,17944,10493,7595,5105,4373
Polk County,21826,18822,15415,13753,16062,17400,8979,7747,5913,5456,5614,5244
Pulaski County,41307,42011,53967,46567,10392,10775,13838,11863,10675,9173,3648,3056
Putnam County,5079,6092,5916,6999,9166,11327,2590,2888,2619,2897,3390,3398
Ralls County,8476,8984,7764,8078,8686,10040,3766,3449,3011,3044,3071,3101
Randolph County,24370,25460,22434,22014,22918,24458,10131,10134,8498,8587,8236,7992
Ray County,21971,21378,17599,16075,15932,18584,8611,8233,6453,6050,5860,5882
Reynolds County,6661,7230,6106,5161,6918,9370,3537,3448,2789,1895,2249,2443
Ripley County,12303,12458,9803,9096,11414,12606,5597,5337,4018,3650,3604,3293
St. Charles County,212907,144107,92954,52970,29834,25562,79113,50028,28119,16501,9223,7154
St. Clair County,8457,8622,7667,8421,10482,13146,4645,4162,4047,4092,4168,4112
Ste. Genevieve County,16037,15180,12867,12116,11237,10905,6766,5932,4299,3781,3365,2839
St. Francois County,48904,42600,36875,36516,35276,35950,20321,17410,13425,12177,10270,9003
St. Louis County,993529,974180,951671,703532,406349,274230,401839,358186,291765,207408,118897,80015
Saline County,23523,24913,24837,25148,26694,29416,10033,10292,9064,8686,8551,8581
Schuyler County,4236,4979,4665,5052,5760,6627,1986,2107,2051,2053,2145,2226
Scotland County,4822,5415,5499,6484,7332,8557,2302,2355,2267,2630,2834,2853
Scott County,39376,39647,33250,32748,32842,30377,15881,15213,11468,10328,9677,8005
Shannon County,7613,7885,7196,7087,8377,11831,3312,3241,2808,2591,2753,2996
Shelby County,6942,7826,7906,9063,9730,11224,3277,3619,3272,3634,3940,3785
Stoddard County,28895,29009,25771,29490,33463,33009,12288,11987,9564,9781,9842,8244
Stone County,19078,15587,9921,8176,9748,11298,11294,8844,4882,2962,3238,3093
Sullivan County,6326,7434,7572,8783,11299,13701,3093,3503,3342,3706,4123,4116
Taney County,25561,20467,13023,10238,9863,10323,13273,10276,5638,4265,3407,3605
Texas County,21476,21070,18320,17758,18992,19813,9525,8706,6951,6659,6219,5535
Vernon County,19041,19806,19065,20540,22685,25586,8181,8338,7074,7458,7281,7394
Warren County,19534,14900,9699,8750,7666,7734,8841,6538,3626,3019,2582,2354
Washington County,20380,17983,15086,14346,14689,17492,8075,7111,5519,4961,4260,4357
Wayne County,11543,11277,8546,8638,10514,12794,6406,5662,4131,3561,3152,3283
Webster County,23753,20414,15562,13753,15072,17226,9067,7701,5606,5034,4981,4830
Worth County,2440,3008,3359,3936,5120,6345,1269,1458,1426,1628,1870,1940
Wright County,16758,16188,13667,14183,15834,17967,7214,6702,5405,5135,5145,5010
St. Louis city,396685,452801,622236,750026,856796,816048,194919,201967,238485,262984,263037,251610
,,,,,,,,,,,,
Montana,,,,,,,,,,,,
Beaverhead County,8424,8186,8187,7194,6671,6943,4128,3741,3210,2885,2562,2627
Big Horn County,11337,11096,10057,10007,9824,10419,4304,3867,2900,2842,2896,2688
Blaine County,6728,6999,6727,8091,8516,9566,2930,2583,2382,2940,2738,2791
Broadwater County,3318,3267,2526,2804,2922,3451,1593,1449,925,946,941,1049
Carbon County,8080,8099,7080,8317,10241,11865,4828,4360,3369,3321,3447,3397
Carter County,1503,1799,1956,2493,2798,3280,816,795,761,884,929,1142
Cascade County,77691,80696,81804,73418,53027,41999,33063,32199,27190,24086,16520,13368
Chouteau County,5452,6092,6473,7348,6974,7316,2668,2689,2625,3022,2498,2881
Custer County,11697,13109,12174,13227,12661,10422,5405,5473,4356,4665,4037,3245
Daniels County,2266,2835,3083,3755,3946,4563,1220,1303,1281,1381,1314,1400
Dawson County,9505,11805,11269,12314,9092,8618,4487,4637,3755,3895,2961,2476
Deer Lodge County,10278,12518,15652,18640,16553,13627,4830,5199,5150,5768,4281,4323
Fallon County,3103,3763,4050,3997,3660,3719,1525,1519,1357,1288,1112,1203
Fergus County,12083,13076,12611,14018,14015,14040,5732,5392,4738,4772,4560,4292
Flathead County,59218,51966,39460,32965,31495,24271,26979,22485,14098,12510,10808,7827
Gallatin County,50463,42865,32505,26045,21902,18269,21350,17173,10761,9074,6988,6385
Garfield County,1589,1656,1796,1981,2172,2641,924,868,732,729,833,891
Glacier County,12121,10628,10783,11565,9645,9034,4797,4002,3458,3471,2933,2573
Golden Valley County,912,1026,931,1203,1337,1607,432,472,366,435,447,512
Granite County,2548,2700,2737,3014,2773,3401,1924,1635,1345,1234,1384,1525
Hill County,17654,17985,17358,18653,14285,13304,7345,7194,5843,5742,4537,4021
Jefferson County,7939,7029,5238,4297,4014,4664,3302,2867,1566,1283,1369,1307
Judith Basin County,2282,2646,2667,3085,3200,3655,1346,1360,1115,1197,979,1272
Lake County,21041,19056,14445,13104,13835,13490,10972,9038,5927,5394,4863,4357
Lewis and Clark County,47495,43039,33281,28006,24540,22131,21412,18571,12359,10442,8408,7434
Liberty County,2295,2329,2359,2624,2180,2209,1007,1154,792,783,789,679
Lincoln County,17481,17752,18063,12537,8693,7882,8002,7018,5907,4245,2917,2684
McCone County,2276,2702,2875,3321,3258,3798,1161,1121,1055,1150,1069,1223
Madison County,5989,5448,5014,5211,5998,7294,3902,2741,2141,2076,2360,2298
Meagher County,1819,2154,2122,2616,2079,2237,1259,1201,1043,842,766,744
Mineral County,3315,3675,2958,3037,2081,2135,1635,1646,1083,953,903,791
Missoula County,78687,76016,58263,44663,35493,29038,33466,30534,18891,15232,11197,8779
Musselshell County,4106,4428,3734,4888,5408,5717,2183,2039,1577,1713,1881,1752
Park County,14562,12869,11197,13168,11999,11566,6926,6074,4648,4597,4194,3787
Petroleum County,519,655,675,894,1026,1083,293,306,269,333,376,381
Phillips County,5163,5367,5386,6027,6334,7892,2765,2514,2153,2206,2294,2657
Pondera County,6433,6731,6611,7653,6392,6716,2618,2702,2267,2415,1993,2089
Powder River County,2090,2520,2862,2485,2693,3159,1096,1123,962,850,920,1191
Powell County,6620,6958,6660,7002,6301,6152,2835,2830,2453,2456,2018,2251
Prairie County,1383,1836,1752,2318,2377,2410,749,808,706,878,788,716
Ravalli County,25010,22493,14409,12341,13101,12978,11099,9133,5333,4518,4491,3981
Richland County,10716,12243,9837,10504,10366,10209,4825,4690,3514,3580,3343,2925
Roosevelt County,10999,10467,10365,11731,9580,9806,4265,3809,3386,3584,2915,2793
Rosebud County,10505,9899,6032,6187,6570,6477,4251,3787,2055,1989,2161,1964
Sanders County,8669,8675,7093,6880,6983,6926,4335,3843,2833,2850,2610,2402
Sheridan County,4732,5414,5779,6458,6674,7814,2417,2416,2086,2315,2246,2270
Silver Bow County,33941,38092,41981,46454,48422,53207,15474,16071,15631,18222,16583,17161
Stillwater County,6536,5598,4632,5526,5416,5694,3291,2681,1959,2039,1994,1810
Sweet Grass County,3154,3216,2980,3290,3621,3719,1639,1479,1387,1196,1161,1192
Teton County,6271,6491,6116,7295,7232,6922,2725,2747,2265,2529,2303,2417
Toole County,5046,5559,5839,7904,6867,6769,2354,2432,2163,2351,2213,2149
Treasure County,874,981,1069,1345,1402,1499,448,462,448,443,450,421
Valley County,8239,10250,11471,17080,11353,15181,5304,5611,5289,5293,3661,5094
Wheatland County,2246,2359,2529,3026,3187,3286,1129,1140,1009,1053,1032,1011
Wibaux County,1191,1476,1465,1698,1907,2161,563,680,536,563,599,665
Yellowstone County,113419,108035,87367,79016,55875,41182,48781,42756,29169,25833,17664,12162
Yellowstone National Park,52,66,64,47,58,43,46,46,24,17,20,18
,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,
Adams County,29625,30656,30553,28944,28855,24576,12491,12657,10738,9949,8837,6764
Antelope County,7965,8675,9047,10176,11624,13289,3478,3689,3365,3646,3792,3873
Arthur County,462,513,606,680,803,1045,242,233,237,247,244,276
Banner County,852,918,1034,1269,1325,1403,366,410,402,411,461,434
Blaine County,675,867,847,1016,1203,1538,381,368,334,387,365,427
Boone County,6667,7391,8190,9134,10721,12127,2878,3066,2878,3123,3390,3590
Box Butte County,13130,13696,10094,11688,12279,10736,5534,5548,3811,4104,3818,3152
Boyd County,2835,3331,3752,4513,4911,6060,1538,1457,1372,1508,1502,1753
Brown County,3657,4377,4021,4436,5164,5962,1950,1996,1627,1725,1598,1750
Buffalo County,37447,34797,31222,26236,25134,23655,14538,13439,10449,8710,8210,7200
Burt County,7868,8813,9247,10192,11536,12546,3740,3803,3413,3675,3676,3563
Butler County,8601,9330,9461,10312,11432,13106,3801,3809,3516,3724,3848,3970
Cass County,21318,20297,18076,17821,16361,16992,8951,8322,6496,5963,5465,5300
Cedar County,10131,11375,12192,13368,13843,15126,4149,4094,3873,3878,3926,3919
Chase County,4381,4758,4129,4317,5176,5310,2011,2099,1614,1658,1699,1500
Cherry County,6307,6758,6846,8218,8397,9637,3023,2963,2716,2788,2539,2723
Cheyenne County,9494,10057,10778,14828,12081,9505,4345,4473,4116,4744,3704,2652
Clay County,7123,8106,8266,8717,8700,10445,3173,3354,3031,3160,3253,3683
Colfax County,9139,9890,9498,9595,10010,10627,3971,4042,3553,3473,3309,3195
Cuming County,10117,11664,12034,12435,12994,13562,4132,4324,3929,3947,3774,3582
Custer County,12270,13877,14092,16517,19170,22591,5728,6180,5596,6114,6402,6697
Dakota County,16742,16573,13137,12168,10401,9836,6486,6129,4174,3748,3114,2722
Dawes County,9021,9609,9761,9536,9708,10128,3909,3965,3388,3319,3330,3083
Dawson County,19940,22304,19771,19405,19393,17890,9021,9363,7440,6820,6215,5179
Deuel County,2237,2462,2717,3125,3330,3580,1075,1118,1101,1154,1116,1016
Dixon County,6143,7137,7453,8106,9129,10413,2613,2849,2703,2723,2806,2883
Dodge County,34500,35847,34782,32471,26265,23799,14601,14243,12152,10732,8407,7244
Douglas County,416444,397038,389455,343490,281020,247562,172335,155636,129842,109249,82248,72373
Dundy County,2582,2861,2926,3570,4354,5122,1326,1438,1281,1410,1501,1524
Fillmore County,7103,7920,8137,9425,9610,11417,3102,3276,3080,3390,3385,3610
Franklin County,3938,4377,4566,5449,7096,7740,1950,2054,1904,2048,2424,2583
Frontier County,3101,3647,3982,4311,5282,6417,1565,1790,1556,1634,1888,2093
Furnas County,5553,6486,6897,7711,9385,10098,2905,3080,2824,3041,3360,3388
Gage County,22794,24456,25731,26818,28052,29588,9735,9911,8794,8851,8889,8410
Garden County,2460,2802,2929,3472,4114,4680,1343,1401,1208,1312,1414,1309
Garfield County,2141,2363,2411,2699,2912,3444,1021,1075,982,958,958,942
Gosper County,1928,2140,2178,2489,2734,3687,1212,1249,922,830,1047,1170
Grant County,769,877,1019,1009,1057,1327,425,430,380,408,337,347
Greeley County,3006,3462,4000,4595,5575,6845,1284,1424,1424,1603,1643,1929
Hall County,48925,47690,42851,35757,32186,27523,19528,18769,14859,11950,10039,8331
Hamilton County,8862,9301,8867,8714,8778,9982,3589,3602,3029,3025,3025,3267
Harlan County,3810,4292,4357,5081,7189,7130,2409,2129,1829,1971,2459,2329
Hayes County,1222,1356,1530,1919,2404,2958,583,671,638,697,747,846
Hitchcock County,3750,4079,4051,4829,5867,6404,1873,1741,1670,1796,1941,1880
Holt County,12599,13552,12933,13722,14859,16552,5472,5411,4506,4497,4420,4428
Hooker County,793,990,939,1130,1061,1253,433,449,405,418,360,349
Howard County,6055,6773,6807,6541,7226,8422,2598,2662,2395,2445,2496,2628
Jefferson County,8759,9817,10436,11620,13623,15532,4082,4271,4162,4213,4585,4772
Johnson County,4673,5285,5743,6281,7251,8662,2153,2201,2169,2308,2505,2582
Kearney County,6629,7053,6707,6580,6409,6854,2756,2826,2385,2229,2161,2263
Keith County,8584,9364,8487,7958,7449,8333,4938,4785,3210,2748,2414,2262
Keya Paha County,1029,1301,1340,1672,2160,3235,584,566,583,607,647,853
Kimball County,4108,4882,6009,7975,4283,3913,1967,2032,2056,2396,1397,1242
Knox County,9534,11457,11723,13300,14820,16478,4799,4804,4340,4471,4578,4606
Lancaster County,213641,192884,167972,155272,119742,100585,86734,76378,57255,50522,37116,30844
Lincoln County,32508,36455,29538,28491,27380,25425,14210,14760,10654,10191,9012,7103
Logan County,878,983,991,1108,1357,1742,387,402,365,410,428,464
Loup County,683,859,854,1097,1348,1777,399,367,363,400,418,459
McPherson County,546,593,623,735,825,1175,257,264,246,267,267,359
Madison County,32655,31382,27402,25145,24338,24269,13069,12327,9620,8381,7146,6829
Merrick County,8042,8945,8751,8363,8812,9354,3533,3604,3048,2944,2906,2878
Morrill County,5423,6085,5813,7057,8263,9436,2530,2592,2256,2524,2694,2406
Nance County,4275,4740,5142,5635,6512,7653,1807,1977,1955,1969,2118,2216
Nemaha County,7980,8367,8976,9099,10973,12781,3432,3497,3336,3476,3773,3953
Nuckolls County,5786,6726,7404,8217,9609,10446,2699,2899,2847,3052,3309,3331
Otoe County,14252,15183,15576,16503,17056,18994,6137,6320,5857,5902,5627,5659
Pawnee County,3317,3937,4473,5356,6744,8514,1674,1799,1801,2125,2403,2534
Perkins County,3367,3637,3423,4189,4809,5197,1537,1559,1371,1505,1558,1449
Phelps County,9715,9769,9553,9800,9048,8452,4084,4082,3482,3486,3004,2779
Pierce County,7827,8481,8493,8722,9405,10211,3177,3240,3004,2839,2873,2803
Platte County,29820,28852,26544,23992,19910,20191,11716,10937,8450,7440,5806,5292
Polk County,5675,6320,6468,7210,8044,8748,2742,2575,2517,2579,2670,2703
Red Willow County,11705,12615,12191,12940,12977,11951,5279,5309,4604,4520,4231,3670
Richardson County,9937,11315,12277,13903,16886,19178,4704,4918,4858,5237,5552,5511
Rock County,2019,2383,2231,2554,3026,3977,1001,1040,939,921,988,1081
Saline County,12715,13131,12809,12542,14046,15010,5299,5393,4900,4897,5085,4856
Sarpy County,102583,86015,66200,31281,15693,10835,35994,27692,17527,8166,4246,2821
Saunders County,18285,18716,17018,17270,16923,17892,7594,7589,5950,5945,5712,5574
Scotts Bluff County,36025,38344,36432,33809,33939,33917,15514,15320,12516,11747,10930,9075
Seward County,15450,15789,14460,13581,13155,14167,5908,5692,4699,4475,4338,4351
Sheridan County,6750,7544,7285,9049,9539,9869,3211,3177,2633,3196,3024,2967
Sherman County,3718,4226,4725,5382,6421,7764,1874,1815,1876,2018,2070,2328
Sioux County,1549,1845,2034,2575,3124,4001,869,821,890,960,1076,1207
Stanton County,6244,6549,5758,5783,6387,6887,2355,2289,2048,1935,1983,2017
Thayer County,6635,7582,7779,9118,10563,12262,3017,3182,3066,3344,3587,3694
Thomas County,851,973,954,1078,1206,1553,404,426,391,427,413,448
Thurston County,6936,7186,6942,7237,8590,10243,2548,2571,2211,2246,2436,2532
Valley County,5169,5633,5783,6590,7252,8163,2469,2543,2306,2431,2462,2522
Washington County,16607,15508,13310,12103,11511,11578,6378,5688,4397,3839,3549,3385
Wayne County,9364,9858,10400,9959,10129,9880,3517,3571,3240,3115,2909,2740
Webster County,4279,4858,5396,6224,7395,8071,2048,2205,2154,2266,2631,2772
Wheeler County,948,1060,1051,1297,1526,2170,561,542,457,496,547,599
York County,14428,14798,13685,13724,14346,14874,5861,5791,4984,4822,4680,4711
,,,,,,,,,,,,
Nevada,,,,,,,,,,,,
Churchill County,17938,13917,10513,8452,6161,5317,7290,5774,3724,2863,2159,1722
Clark County,741459,463087,273288,127016,48289,16414,317188,190607,93047,43302,16298,5082
Douglas County,27637,19421,6882,3481,2029,2056,14121,9399,3205,1981,998,1028
Elko County,33530,17269,13958,12011,11654,10912,13461,7667,5313,4479,3787,3607
Esmeralda County,1344,777,629,619,614,1554,966,368,422,362,513,789
Eureka County,1547,1198,948,767,896,1361,817,605,370,478,464,571
Humboldt County,12844,9449,6375,5708,4838,4743,5044,3835,2388,2143,1550,1462
Lander County,6266,4076,2666,1566,1850,1745,2586,1664,907,778,691,730
Lincoln County,3775,3732,2557,2431,3837,4130,1800,1685,1043,1180,1409,1242
Lyon County,20001,13594,8221,6143,3679,4076,8722,5815,2922,2073,1291,1429
Mineral County,6475,6217,7051,6329,5560,2342,2994,3019,2478,2607,2326,897
Nye County,17781,9048,5599,4374,3101,3606,8073,4292,2098,1726,1634,1722
Pershing County,4336,3408,2670,3199,3103,2713,1908,1414,1121,1617,1128,920
Storey County,2526,1503,695,568,671,1216,1085,726,361,310,354,423
Washoe County,254667,193623,121068,84743,50205,32476,112193,86051,44722,29675,17186,10766
White Pine County,9264,8167,10150,9808,9424,12377,3982,3664,3339,3555,3358,3389
Carson City,40443,32022,15468,5163,4172,3209,16628,13371,5098,0,0,0
,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,
Belknap County,49216,42884,32367,28912,26632,24328,30306,24004,16230,12170,12490,9978
Carroll County,35410,27931,18548,15829,15868,15589,32146,22854,14838,9869,8763,6705
Cheshire County,70121,62116,52364,43342,38811,34953,30350,25368,20202,16772,14222,11905
Coos County,34828,35147,34291,37140,35932,39274,18712,16004,13213,12723,11210,10264
Grafton County,74929,65806,54914,48857,47923,44645,42206,32246,22937,19616,17196,14646
Hillsborough County,336073,276608,223941,178161,156987,144888,135622,101208,74666,59279,50430,42797
Merrimack County,120005,98302,80925,67785,63022,60710,50870,39636,29250,24492,21124,18697
Rockingham County,245845,190345,138951,99029,70059,58142,101773,76115,53132,38941,29623,21900
Strafford County,104233,85408,70431,59799,51567,43553,42387,32460,23874,19681,16292,13120
Sullivan County,38592,36063,30949,28067,26441,25442,19532,16486,12620,10897,9213,8032
,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,
Atlantic County,224327,194119,175043,160880,132399,124066,106877,89342,73848,64601,48604,43223
Bergen County,825380,845385,897148,780255,539139,409646,324817,306774,283311,236696,162427,115672
Burlington County,395066,362542,323132,224499,135910,97013,143236,121231,88175,60126,36113,27498
Camden County,502824,471650,456291,392035,300743,255727,190145,173653,143266,119178,88429,70457
Cape May County,95089,82266,59554,48555,37131,28919,85537,72107,53152,47377,32233,25065
Cumberland County,138053,132866,121374,106850,88597,73184,50294,47345,40005,35297,27793,21519
Essex County,778206,851304,932526,923545,905949,837340,298710,317329,312479,299832,260870,230916
Gloucester County,230082,199917,172681,134840,91727,72219,82459,69113,51708,42053,28493,21233
Hudson County,553099,556972,607839,610734,647437,652040,229682,221276,214338,204800,189614,184121
Hunterdon County,107776,87361,69718,54107,42736,36766,39987,30029,22267,18029,14081,11385
Mercer County,325824,307863,304116,266392,229781,197318,123666,111610,96430,79477,60784,49802
Middlesex County,671780,595893,583813,433856,264872,217077,250174,203418,171711,125347,76353,55948
Monmouth County,553124,503173,461849,334401,225327,161238,218408,185770,150469,115619,82668,63544
Morris County,421353,407630,383454,261620,164371,125732,155745,137992,116032,82327,53237,39929
Ocean County,433203,346038,208470,108241,56622,37706,219863,173532,110311,71657,38485,24376
Passaic County,453060,447585,460782,406618,337093,309353,162512,159585,152767,134391,107577,90191
Salem County,65294,64676,60346,58711,49508,42274,25349,24165,19598,19208,15582,12437
Somerset County,240279,203129,198372,143913,99052,74390,92653,69774,58310,42323,27742,19499
Sussex County,130943,116119,77528,49255,34423,29632,51574,43869,31218,25098,17900,13344
Union County,493819,504094,543116,504255,398138,328344,187033,182835,174330,154180,114849,88450
Warren County,91607,84429,73960,63220,54374,50181,36589,31499,24964,21324,17639,15278
,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,
Bernalillo County,480577,420261,315774,262199,145673,69391,201235,162399,98638,76809,43443,19026
Catron County,2563,2720,2198,2773,3533,4881,1552,1396,970,1062,1157,1856
Chaves County,57849,51103,43335,57649,40605,23980,23386,20823,17773,17119,12142,6578
Cibola County,23794,0,0,0,0,0,9692,0,0,0,0,0
Colfax County,12925,13667,12170,13806,16761,18718,8265,6896,4804,4808,4990,5707
Curry County,42207,42019,39517,32691,23351,18159,16906,16213,12401,10174,7674,5149
DeBaca County,2252,2454,2547,2991,3464,3725,1329,1350,1247,1108,1234,1011
Dona Ana County,135510,96340,69773,59948,39557,30411,49148,33944,19818,16372,10896,7703
Eddy County,48605,47855,41119,50783,40640,24311,20134,18154,15070,15756,12499,6207
Grant County,27676,26204,22030,18700,21649,20050,11349,9631,6946,6028,6413,5252
Guadalupe County,4156,4496,4969,5610,6772,8646,2149,2143,1649,1617,2050,2062
Harding County,987,1090,1348,1874,3013,4374,614,553,611,646,805,1222
Hidalgo County,5958,6049,4734,4961,5095,4821,2413,2326,1558,1657,1503,1319
Lea County,55765,55993,49554,53429,30717,21154,23333,21083,17158,17131,9972,6750
Lincoln County,12219,10997,7560,7744,7409,8557,12622,9739,4950,4091,3553,3132
Los Alamos County,18115,17599,15198,13037,10476,0,7565,6585,4706,3848,3501,0
Luna County,18110,15585,11706,9839,8753,6457,7766,6290,3923,3085,2719,1857
McKinley County,60686,56536,43208,37209,27451,23641,20933,18185,10586,8199,6197,6870
Mora County,4264,4205,4673,6028,8720,10981,2486,2105,1750,2258,2468,2653
Otero County,51928,44665,41097,36976,14909,10522,23177,17961,12098,11245,4591,3107
Quay County,10823,10577,10903,12279,13971,12111,5576,4914,4256,4191,4430,3595
Rio Arriba County,34365,29282,25170,24193,24997,25352,14357,11107,7503,6721,6224,6095
Roosevelt County,16702,15695,16479,16198,16409,14549,6902,6510,5759,5485,5233,3840
Sandoval County,63319,34400,17492,14201,12438,13898,23667,12138,4785,3354,2966,3885
San Juan County,91605,81433,52517,53306,18292,17115,34248,29730,14960,14280,4550,4690
San Miguel County,25743,22751,21951,23468,26512,27910,11066,9904,7214,6952,7037,7229
Santa Fe County,98928,75519,54774,44970,38153,30826,41464,28363,16512,12384,10288,8049
Sierra County,9912,8454,7189,6409,7186,6962,6457,5392,3743,3069,3027,2349
Socorro County,14764,12566,9763,10168,9670,11422,6289,4636,3029,3223,2693,3020
Taos County,23118,19456,17516,15934,17146,18528,12020,9341,6216,4985,4813,4772
Torrance County,10285,7491,5290,6497,8012,11026,4878,3309,1919,2098,2456,2862
Union County,4124,4725,4925,6068,7372,9095,2299,2271,1993,2174,2306,2749
Valencia County,45235,61115,40576,39085,22481,20245,16781,22353,11563,10047,5876,5046
,,,,,,,,,,,,
New York,,,,,,,,,,,,
Albany County,292594,285909,286742,272926,239386,221315,124255,115733,98412,90977,74582,66641
Allegany County,50470,51742,46458,43978,43784,39681,21951,20737,16327,14792,13737,12303
Bronx County,1203789,1168972,1471701,1424815,1451277,1394711,440955,451118,508789,473159,432259,395245
Broome County,212160,213648,221815,212661,184698,165749,87969,81982,73371,66727,55264,46942
Cattaraugus County,84234,85697,81666,80187,77901,72652,36839,34851,28601,26840,23745,21466
Cayuga County,82313,79894,77439,73942,70136,65508,33280,30955,26348,24987,22520,20310
Chautauqua County,141895,146925,147305,145377,135189,123580,62682,60905,54572,52454,46132,40527
Chemung County,95195,97656,101537,98706,86827,73718,37290,36706,33051,31084,26539,21751
Chenango County,51768,49344,46368,43243,39138,36454,22164,18864,15427,13901,12719,11670
Clinton County,85969,80750,72934,72722,53622,54006,32190,28092,21201,20348,14857,12730
Columbia County,62982,59487,51519,47322,43182,41464,29139,25948,20062,18212,15826,14189
Cortland County,48963,48820,45894,41113,37158,33668,18681,17683,14759,12964,11421,10555
Delaware County,47225,46824,44718,43540,44420,40989,27361,22746,17734,15543,14670,13372
Dutchess County,259462,245055,222295,176008,136781,120542,97632,86852,69126,54647,38344,31824
Erie County,968532,1015472,1113491,1064688,899238,798377,402131,389038,360893,334941,261157,219553
Essex County,37152,36176,34631,35300,35086,34178,21493,19124,14474,14506,13019,10538
Franklin County,46540,44929,43931,44742,44830,44286,21962,20331,16221,16209,13798,12249
Fulton County,54191,55153,52637,51304,51021,48597,26260,25507,21977,21451,19143,17251
Genesee County,60060,59400,58722,53994,47584,44481,22596,21264,18381,16580,14159,12535
Greene County,44739,40861,33136,31372,28745,27926,25000,21350,15317,14054,10912,10500
Hamilton County,5279,5034,4714,4267,4105,4188,8234,7062,4461,2707,3203,2548
Herkimer County,65797,66714,67407,66370,61407,59527,30799,28526,24380,24056,20097,18972
Jefferson County,110943,88151,88508,87835,85521,84003,50519,42012,34698,33783,30492,26943
Kings County,2300664,2231028,2602012,2627319,2738175,2698285,873671,881399,902622,875757,814134,762526
Lewis County,26796,25035,23644,23249,22521,22815,13182,11604,8965,8055,7528,6668
Livingston County,62372,57006,54041,44053,40257,38510,23084,20301,16845,13996,12348,11285
Madison County,69120,65150,62864,54635,46214,39598,26641,23918,20486,18734,15743,12765
Monroe County,713968,702238,711917,586387,487632,438230,285524,264352,228554,185476,147923,127776
Montgomery County,51981,53439,55883,57240,59594,59142,21851,21192,20087,19876,18737,17338
Nassau County,1287348,1321582,1428838,1300171,672765,406748,446292,434045,410379,366303,206701,123401
New York County,1487536,1428285,1539233,1698281,1960101,1889924,785127,754796,714593,727424,635944,617373
Niagara County,220756,227354,235720,242269,189992,160110,90385,85209,74695,74824,56266,44509
Oneida County,250836,253466,273070,264401,222855,203636,101251,95834,88258,82990,66052,57411
Onondaga County,468973,463920,472835,423028,341719,295108,190878,177107,153609,131049,101296,85649
Ontario County,95101,88909,78849,68070,60172,55307,38947,34082,27225,22942,19310,16951
Orange County,307647,259603,221657,183734,152255,140113,110814,93274,76753,67133,50964,43142
Orleans County,41846,38496,37305,34159,29832,27760,16345,15030,12901,11822,10005,8772
Oswego County,121771,113901,100897,86118,77181,71275,48548,42879,32857,28324,24608,21958
Otsego County,60517,59075,56181,51942,50763,46082,26385,23877,19684,18722,17324,15914
Putnam County,83941,77193,56696,31722,20307,16555,31898,27867,22326,17701,11574,7985
Queens County,1951598,1891325,1987174,1809578,1550849,1297634,752690,740129,708316,617077,495308,394389
Rensselaer County,154429,151966,152510,142585,132607,121834,62591,57363,50305,47791,40898,38159
Richmond County,378977,352029,295443,221991,191555,174441,139726,118968,89961,65156,55820,48839
Rockland County,265475,259530,229903,136803,89276,74261,88264,80171,62401,38988,25382,18615
St. Lawrence County,111974,114347,112309,111239,98897,91098,47521,43704,36864,34862,29650,25324
Saratoga County,181276,153759,121764,89096,74869,65606,75105,60370,40388,31392,25596,20622
Schenectady County,149285,149946,161078,152896,142497,122494,62769,59540,55623,52375,44634,37235
Schoharie County,31859,29710,24750,22616,22703,20812,14431,12651,8923,8418,7730,7657
Schuyler County,18662,17686,16737,15044,14182,12979,8472,7560,6270,5643,5004,4232
Seneca County,33683,33733,35083,31984,29253,25732,14314,13349,11488,10299,9280,7061
Steuben County,99088,99217,99546,97691,91439,84927,43019,40520,34502,32396,28724,25532
Suffolk County,1321864,1284231,1127030,666784,276129,197355,481317,431722,335041,224451,108402,75586
Sullivan County,69277,65155,52580,45272,40731,37901,41814,45863,47401,45020,35419,23206
Tioga County,52337,49812,46513,37802,30166,27072,20254,17987,14161,11534,9436,8521
Tompkins County,94097,87085,77064,66164,59122,42340,35338,31006,24104,19910,16251,13393
Ulster County,165304,158158,141241,118804,92621,87017,71716,69280,55739,49359,36788,30961
Warren County,59209,54854,49402,44002,39205,36035,31737,26825,20879,20614,14985,13203
Washington County,59330,54795,52725,48476,47144,46726,24216,21917,18679,16857,15130,14047
Wayne County,89123,84581,79404,67989,57323,52747,35188,32094,26314,23283,19336,16668
Westchester County,874866,866599,894406,808891,625816,573558,336727,316658,291550,254766,187257,161213
Wyoming County,42507,39895,37688,34793,32822,31394,15848,15083,12882,11612,10645,9662
Yates County,22810,21459,19831,18614,17615,16381,11629,10762,8472,8027,7079,6298
,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,
Alamance County,108213,99319,96502,85674,71220,57427,45312,38179,30935,25413,19120,13254
