,Population,,,,,,Housing Units,,,,,
Faulkner County,60006,46192,31578,24303,25289,25880,23397,16814,10198,7902,7295,6599
Franklin County,14897,14705,11301,10213,12358,15683,6228,5689,4070,3567,3777,3970
Fulton County,10037,9975,7699,6657,9187,10253,4839,4360,3037,2556,2776,2715
Garland County,73397,70531,54131,46697,47102,41664,37966,34120,23996,18699,16866,12878
Grant County,13948,13008,9711,8294,9024,10477,5540,4901,3349,2759,2662,2681
Greene County,31804,30744,24765,25198,29149,30204,13216,11944,8770,8301,8470,7512
Hempstead County,21621,23635,19308,19661,25080,32770,9690,9702,7137,6763,7700,8351
Hot Spring County,26115,26819,21963,21893,22181,18916,11378,10699,7713,7081,6544,4952
Howard County,13569,13459,11412,10878,13342,16621,5600,5143,4201,3747,4233,4441
Independence County,31192,30147,22723,20048,23488,25643,12838,11630,8371,6912,7036,6417
Izard County,11364,10768,7381,6766,9953,12834,5535,5073,3198,2626,3080,3282
Jackson County,18944,21646,20452,22843,25912,26427,8086,8306,7091,6968,7379,6731
Jefferson County,85487,90718,85329,81373,76075,65101,33311,33032,28347,24929,22793,18881
Johnson County,18221,17423,13630,12421,16138,18795,7984,7179,5278,4400,4950,4876
Lafayette County,9643,10213,10018,11030,13203,16851,4523,4502,3792,3588,4104,4551
Lawrence County,17457,18447,16320,17267,21303,22651,7692,7479,6085,5717,6234,5623
Lee County,13053,15539,18884,21001,24322,26810,5085,5272,5566,6222,6780,7030
Lincoln County,13690,13369,12913,14447,17079,19709,4295,4229,3786,3702,4805,5134
Little River County,13966,13952,11194,9211,11690,15932,6171,5731,4017,3167,3658,4413
Logan County,20557,20144,16789,15957,20260,25967,8539,7900,6186,5440,5792,6383
Lonoke County,39268,34518,26249,24551,27278,29802,15009,12442,8910,7597,8188,8381
Madison County,11618,11373,9453,9068,11734,14531,5182,4747,3554,3337,3591,3746
Marion County,12001,11334,7000,6041,8609,9464,6139,5389,3048,2403,2739,2452
Miller County,38467,37766,33385,31686,32614,31874,16172,14695,11875,10955,10009,8823
Mississippi County,57525,59517,62060,70174,82375,80217,22232,21554,19818,21667,24443,21333
Monroe County,11333,14052,15657,17327,19540,21133,5063,5737,5007,5133,5609,5530
Montgomery County,7841,7771,5821,5370,6680,8876,4269,3600,2357,2054,2111,2376
Nevada County,10101,11097,10111,10700,14781,19869,4287,4436,3825,3763,4573,5087
Newton County,7666,7756,5844,5963,8685,10881,3439,3082,2282,1961,2316,2658
Ouachita County,30574,30541,30896,31641,33051,31151,13204,12116,11113,10822,10163,8004
Perry County,7969,7266,5634,4927,5978,8392,3702,3176,2218,1770,1918,2070
Phillips County,28838,34772,40046,43997,46254,45970,11094,12401,12351,13191,13832,13464
Pike County,10086,10373,8711,7864,10032,11786,4550,4254,3369,2910,3139,3091
Poinsett County,24664,27032,26843,30834,39311,37670,10271,10212,8930,9497,10722,9076
Polk County,17347,17007,13297,11981,14182,15832,7732,6998,5192,4548,4634,4247
Pope County,45883,38964,28607,21177,23291,25682,18430,14885,9882,6858,6827,6541
Prairie County,9518,10140,10249,10515,13768,15304,4340,4061,3602,3379,4225,3889
Pulaski County,349660,340597,287189,242980,196685,156085,151538,132805,98201,76449,59228,43567
Randolph County,16558,16834,12645,12520,15982,18319,7343,6720,4655,4334,4743,4640
St. Francis County,28497,30858,30799,33303,36841,36043,10958,10663,9025,9648,10574,9770
Saline County,64183,53156,36107,28956,23816,19163,24602,18852,11684,8148,6248,4527
Scott County,10205,9685,8207,7297,10057,13300,4485,3839,3037,2626,3057,3447
Searcy County,7841,8847,7731,8124,10424,11942,3739,3683,3037,2854,3110,2898
Sebastian County,99590,95172,79237,66685,64202,62809,43621,39130,28606,24669,21200,17136
Sevier County,13637,14060,11272,10156,12293,15248,5880,5527,4169,3655,3889,3971
Sharp County,14109,14607,8233,6319,8999,11497,7617,7203,4375,2571,2679,3097
Stone County,9775,9022,6838,6294,7662,8603,4548,3856,2654,2143,2108,2233
Union County,46719,48573,45428,49518,49686,50461,20276,19730,16645,16632,15354,13867
Van Buren County,14008,13357,8275,7228,9687,12518,7580,6061,3361,2677,2962,3253
Washington County,113409,100494,77370,55797,49979,41114,47349,38510,26555,19101,15254,11866
White County,54676,50835,39253,32745,38040,37176,21658,18482,13806,10928,11188,9825
Woodruff County,9520,11222,11566,13954,18957,22133,4169,4485,4050,4455,5387,5424
Yell County,17759,17026,14208,11940,14057,20970,7868,6877,5361,4269,4623,5354
,,,,,,,,,,,,
California,,,,,,,,,,,,
Alameda County,1279182,1105379,1071446,908209,740315,513011,504109,444607,378833,310312,247145,173031
Alpine County,1113,1097,484,397,241,323,1319,933,521,168,304,159
Amador County,30039,19314,11821,9990,9151,8973,12814,9446,5120,3988,3350,2968
Butte County,182120,143851,101969,82030,64930,42840,76115,61360,38110,31494,23309,14488
Calaveras County,31998,20710,13585,10289,9902,8221,19153,12746,7037,4677,4014,3159
Colusa County,16275,12791,12430,12075,11651,9788,6295,5334,4867,4385,3899,3125
Contra Costa County,803732,656331,556116,409030,298984,100450,316170,251917,177732,124279,90641,31297
Del Norte County,23460,18217,14580,17771,8078,4745,9091,7581,5341,5831,2804,1836
El Dorado County,125995,85812,43833,29390,16207,13229,61451,44987,23871,15592,9443,6726
Fresno County,667490,514621,413329,365945,276515,178565,235563,193653,135696,118784,88069,54505
Glenn County,24798,21350,17521,17245,15448,12195,9329,8425,6299,5956,5111,3745
Humboldt County,119118,108525,99692,104892,69241,45812,51134,45389,35222,34691,22975,15386
Imperial County,109303,92110,74492,72105,62975,59740,36559,32088,23401,21916,17904,16400
Inyo County,18281,17895,15571,11684,11658,7625,8712,8484,6135,5104,4229,2770
Kern County,543477,403089,330234,291984,228309,135124,198636,155702,110142,97636,69943,39801
Kings County,101469,73738,66717,49954,46768,35168,30843,25694,20131,16098,14506,11110
Lake County,50631,36366,19548,13786,11481,8069,28822,23008,12161,8565,5771,4126
Lassen County,27598,21661,16796,13597,18474,14479,10358,8899,6071,5922,6002,4567
Los Angeles County,8863164,7477238,7041980,6038771,4151687,2785643,3163343,2855506,2541603,2143227,1442691,961531
Madera County,88090,63116,41519,40468,36964,23314,30831,24607,14788,13593,11489,6945
Marin County,230096,222592,208652,146820,85619,52907,99757,92663,72000,49581,28598,16472
Mariposa County,14302,11108,6015,5064,5145,5605,7700,5762,3089,2436,2207,2229
Mendocino County,80345,66738,51101,51059,40854,27864,33649,28998,18914,17556,13379,8625
Merced County,178403,134558,104629,90446,69780,46988,58410,50016,32708,28538,21024,14464
Modoc County,9678,8610,7469,8308,9678,8713,4672,3738,2892,3317,3287,2979
Mono County,9956,8577,4016,2213,2115,2299,10664,8397,3082,1634,1888,1078
Monterey County,355660,290444,247450,198351,130498,73032,121224,103557,75794,57478,41105,23154
Napa County,110765,99199,79140,65890,46603,28503,44199,40052,26838,21176,13746,8752
Nevada County,78510,51645,26346,20911,19888,19283,37352,24759,11960,9184,7932,6846
Orange County,2410556,1932921,1421233,703925,216224,130760,875072,721570,463199,227012,79158,49019
Placer County,172796,117247,77632,56998,41649,28108,77879,54014,30441,21362,15665,10332
Plumas County,19739,17340,11707,11620,13519,11548,11942,9451,6016,5523,5386,4159
Riverside County,1170413,663199,456916,306191,170046,105524,483847,295069,169136,115392,62397,36663
Sacramento County,1041219,783381,634373,502778,277140,170333,417574,323702,212079,164576,87253,51715
San Benito County,36697,25005,18226,15396,14370,11392,12230,8750,5925,5223,4816,3403
San Bernardino County,1418380,895016,682233,503591,281642,161108,542332,370155,251295,193668,105428,63175
San Diego County,2498016,1861846,1357854,1033011,556808,289348,946240,720346,450798,339442,181440,100245
San Francisco County,723959,678974,715674,740316,775357,634536,328471,316608,310402,310559,265726,222176
San Joaquin County,480628,347342,291073,249989,200750,134207,166274,136001,96476,80697,61430,38210
San Luis Obispo County,217162,155435,105690,81044,51417,33246,90200,66780,37612,29399,18813,11891
San Mateo County,649623,587329,557361,444387,235659,111782,251782,233200,191077,141770,76551,37230
Santa Barbara County,369608,298694,264324,168962,98220,70555,138149,114910,88806,57290,33166,22664
Santa Clara County,1497577,1295071,1065313,642315,290547,174949,540240,473817,336873,199922,91670,56406
Santa Cruz County,229734,188141,123790,84219,66534,45057,91878,80863,52006,40939,31141,22048
Shasta County,147036,115613,77640,59468,36413,28800,60552,47487,27449,20961,12751,9762
Sierra County,3318,3073,2365,2247,2410,3025,2166,1893,1551,1495,1230,1395
Siskiyou County,43531,39732,33225,32885,30733,28598,20141,17504,13074,13272,10463,9493
Solano County,340421,235203,171989,134597,104833,49118,119533,84270,53762,41894,33007,15312
Sonoma County,388222,299681,204885,147375,103405,69052,161062,124189,78060,59784,39966,26831
Stanislaus County,370522,265900,194506,157294,127231,74866,132027,102472,65414,51834,39947,22848
Sutter County,64415,52246,41935,33380,26239,18680,24163,20425,14102,11077,8440,5686
Tehama County,49625,38888,29517,25305,19276,14316,20403,16556,10701,9143,6808,4781
Trinity County,13063,11858,7615,9706,5087,3970,7540,6350,3750,4039,2291,1513
Tulare County,311921,245738,188322,168403,149264,107152,105013,88744,61904,55554,47939,31993
Tuolumne County,48456,33928,22169,14404,12584,10887,25175,19370,11248,8157,6104,4961
Ventura County,669016,529174,378497,199138,114647,69685,228478,183384,112722,60698,34551,20772
Yolo County,141092,113374,91788,65727,40640,27243,53000,43605,29736,20957,12466,8148
Yuba County,58228,49733,44736,33859,24420,17034,21245,19248,14202,11113,7892,5268
,,,,,,,,,,,,
Colorado,,,,,,,,,,,,
Adams County,265038,245944,185789,120296,40234,22481,106947,89280,51457,32756,11301,5964
Alamosa County,13617,11799,11422,10000,10531,10484,5254,4433,3678,3174,3131,2885
Arapahoe County,391511,293300,162142,113426,52125,32150,168665,112986,48925,33127,16111,9355
Archuleta County,5345,3664,2733,2629,3030,3806,3951,2044,1211,978,953,1173
Baca County,4556,5419,5674,6310,7964,6207,2434,2480,2262,2290,2661,2016
Bent County,5048,5945,6493,7419,8775,9653,2332,2367,2126,2332,2614,2644
Boulder County,225339,189625,131889,74254,48296,37438,94621,74638,44307,25602,16467,13649
Chaffee County,12684,13227,10162,8298,7168,8109,6547,5781,3749,3044,2774,2996
Cheyenne County,2397,2153,2396,2789,3453,2964,1083,958,899,957,1106,993
Clear Creek County,7619,7308,4819,2793,3289,3784,4811,4198,2493,1819,2065,1969
Conejos County,7453,7794,7846,8428,10171,11648,3574,3117,2545,2716,3086,2893
Costilla County,3190,3071,3091,4219,6067,7533,1743,1437,1114,1388,1662,1765
Crowley County,3946,2988,3086,3978,5222,5398,1415,1361,1296,1417,1588,1521
Custer County,1926,1528,1120,1305,1573,2270,2216,1108,887,744,778,862
Delta County,20980,21225,15286,15602,17365,16470,10082,9239,6186,5897,5898,4966
Denver County,467610,492686,514678,493887,415786,322412,239636,228122,193765,174124,133690,101143
Dolores County,1504,1658,1641,2196,1966,1958,947,912,743,930,843,607
Douglas County,60391,25153,8407,4816,3507,3496,22291,8674,2681,1815,1365,1224
Eagle County,21928,13320,7498,4677,4488,5361,15226,11060,3257,1762,1759,1763
Elbert County,9646,6850,3903,3708,4477,5460,3997,2722,1402,1362,1526,1742
El Paso County,397014,309424,235972,143742,74523,54025,165056,117571,73710,48177,26235,19561
Fremont County,32273,28676,21942,20196,18366,19742,13683,11485,7621,7152,5897,5749
Garfield County,29974,22514,14821,12017,11625,10560,12517,9345,5537,4575,3941,3415
Gilpin County,3070,2441,1272,685,850,1625,2438,2012,1265,1224,888,1045
Grand County,7966,7475,4107,3557,3963,3587,9985,7209,2966,1645,1990,1795
Gunnison County,10273,10689,7578,5477,5716,6192,7294,5734,3361,2056,2755,2577
Hinsdale County,467,408,202,208,263,349,1254,697,651,241,268,323
Huerfano County,6009,6440,6590,7867,10549,16088,3913,3466,2855,2921,3678,4336
Jackson County,1605,1863,1811,1758,1976,1798,1326,1061,845,919,970,789
Jefferson County,438430,371753,235368,127520,55687,30725,178611,138542,72820,41678,20308,11799
Kiowa County,1688,1936,2029,2425,3003,2793,878,835,790,859,1085,1022
Kit Carson County,7140,7599,7530,6957,8600,7512,3224,3289,2744,2585,2744,2279
Lake County,6007,8830,8282,7101,6150,6883,3527,3753,2959,2636,2400,2391
La Plata County,32284,27195,19199,19225,14880,15494,15412,12036,6989,6815,4785,4692
Larimer County,186136,149184,89900,53343,43554,35539,77811,62191,33898,20937,16596,14281
Las Animas County,13765,14897,15744,19983,25902,32369,6975,6426,5772,6776,7913,9184
Lincoln County,4529,4663,4836,5310,5909,5882,2204,2145,1877,1934,2012,1862
Logan County,17567,19800,18852,20302,17187,18370,7824,7820,6393,6825,5387,5132
Mesa County,93145,81530,54374,50715,38974,33791,39208,32573,18982,17127,12803,9828
Mineral County,558,804,786,424,698,975,1201,697,637,744,595,601
Moffat County,11357,13133,6525,7061,5946,5086,5235,5269,2490,2426,2129,1799
Montezuma County,18672,16510,12952,14024,9991,10463,8050,6498,4480,4733,3237,2919
Montrose County,24423,24352,18366,18286,15220,15418,10353,9378,6208,5847,4863,4463
Morgan County,21939,22513,20105,21192,18074,17214,9230,9019,7032,7028,5563,4830
Otero County,20185,22567,23523,24128,25275,23571,8739,8847,8015,7778,7932,6807
Ouray County,2295,1925,1546,1601,2103,2089,1507,1189,799,803,751,692
Park County,7174,5333,2185,1822,1870,3272,7247,4873,2306,1566,1240,1862
Phillips County,4189,4542,4131,4440,4924,4948,1960,2014,1644,1673,1662,1508
Pitkin County,12661,10338,6185,2381,1646,1836,9837,8501,2748,1060,812,799
Prowers County,13347,13070,13258,13296,14836,12304,5855,5452,4664,4513,4616,3752
Pueblo County,123051,125972,118238,118707,90188,68870,50872,49095,37636,34680,25551,19331
Rio Blanco County,5972,6255,4842,5150,4719,2943,2803,2524,2028,1944,1844,1023
Rio Grande County,10770,10511,10494,11160,12832,12404,5277,4441,3712,3861,3828,3507
Routt County,14088,13404,6592,5900,8940,10525,9252,7281,3092,2508,3046,3497
Saguache County,4619,3935,3827,4473,5664,6173,2306,1884,1614,1901,1991,1826
San Juan County,745,833,831,849,1471,1439,481,475,372,380,402,521
San Miguel County,3653,3192,1949,2944,2693,3664,2635,1739,983,1308,1067,1175
Sedgwick County,2690,3266,3405,4242,5095,5294,1414,1448,1382,1504,1603,1525
Summit County,12881,8848,2665,2073,1135,1754,17091,10261,2198,993,802,975
Teller County,12468,8034,3316,2495,2754,6463,7565,5100,2190,1885,1762,2601
Washington County,4812,5304,5550,6625,7520,8336,2307,2413,2141,2374,2437,2424
Weld County,131821,123438,89297,72344,67504,63747,51138,46475,28896,24361,20895,18476
Yuma County,8954,9682,8544,8912,10827,12102,4082,4155,3550,3336,3565,3557
,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,
Fairfield County,827645,807143,792814,653589,504342,418384,324355,295065,254618,208997,153716,119117
Hartford County,851783,807766,816737,689555,539661,450189,341812,300683,262881,215370,155973,119302
Litchfield County,174092,156769,144091,119856,98872,87041,74274,61786,51052,43343,33866,27829
Middlesex County,143196,129017,115018,88865,67332,55999,61593,51220,38608,32426,23238,17908
New Haven County,804219,761325,744948,660315,545784,484316,327079,287180,242851,212735,163974,138934
New London County,254957,238409,230654,185745,144821,125224,104461,90271,73475,62100,47099,38319
Tolland County,128699,114823,103440,68737,44709,31866,46677,38039,29735,20281,13710,10398
Windham County,102525,92312,84515,68572,61759,56223,40599,34636,28383,23292,19586,16736
,,,,,,,,,,,,
Delaware,,,,,,,,,,,,
Kent County,110993,98219,81892,65651,37870,34441,42106,35354,25242,19915,12242,10362
New Castle County,441946,398115,385856,307446,218879,179562,173560,148563,120704,94688,62901,47588
Sussex County,113229,98004,80356,73195,61336,52502,74253,54694,34287,29122,21870,17617
,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,
District of Columbia,606900,638432,756668,763956,802178,663091,278489,277249,278327,262641,229738,185128
,,,,,,,,,,,,
Florida,,,,,,,,,,,,
Alachua County,181596,151369,104764,74074,57026,38607,79022,58961,33538,21933,15988,10562
Baker County,18486,15289,9242,7363,6313,6510,5975,4548,2352,1951,1857,1551
Bay County,126994,97740,75283,67131,42689,20686,65999,42900,26978,21680,13924,6303
Bradford County,22515,20023,14625,12446,11457,8717,8099,7249,4626,4019,3415,2245
Brevard County,398978,272959,230006,111435,23653,16142,185150,113900,77981,36852,9475,5865
Broward County,1255488,1018257,620100,333946,83933,39794,628660,486161,253320,128559,36284,15944
Calhoun County,11011,9294,7624,7422,7922,8218,4468,3562,2710,2403,2222,2092
Charlotte County,110975,58460,27559,12594,4286,3663,64641,34798,13752,6188,2178,1412
Citrus County,93515,54703,19196,9268,6111,5846,49854,29195,9769,4512,2261,1912
Clay County,105986,67052,32059,19535,14323,6468,40249,24328,10988,7164,4288,1971
Collier County,152099,85971,38040,15753,6488,5102,94165,50743,17580,5950,2340,1991
Columbia County,42613,35399,25250,20077,18216,16859,17818,13628,8450,6377,5305,4667
Dade County,1937094,1625509,1267792,935047,495084,267739,771288,665282,453908,348946,180658,90472
DeSoto County,23865,19039,13060,11683,9242,7792,10310,7458,4095,3399,2695,2394
Dixie County,10585,7751,5480,4479,3928,7018,6445,4010,1884,1584,1280,1965
Duval County,672971,571003,528865,455411,304029,210143,284673,227077,174309,141252,91027,57816
Escambia County,262798,233794,205334,173829,112706,74667,112230,88661,65141,52256,32616,18567
Flagler County,28701,10913,4454,4566,3367,3008,15215,5891,1867,1696,1287,956
Franklin County,8967,7661,7065,6576,5814,5991,5891,4497,3409,3101,2326,1970
Gadsden County,41105,41674,39184,41989,36457,31450,14859,13387,10268,9625,8305,6918
Gilchrist County,9667,5767,3551,2868,3499,4250,4071,2647,1253,1024,1045,1087
Glades County,7591,5992,3669,2950,2199,2745,4624,3475,1443,1035,669,905
Gulf County,11504,10658,10096,9937,7460,6951,6339,4741,3795,3581,2420,2051
Hamilton County,10930,8761,7787,7705,8981,9778,4119,3342,2562,2345,2667,2594
Hardee County,19499,20357,14889,12370,10073,10158,7941,7432,4801,4063,3230,2807
Hendry County,25773,18599,11859,8119,6051,5237,9945,7032,3985,2569,1924,1864
Hernando County,101115,44469,17004,11205,6693,5641,50018,22541,7776,4406,2284,1762
Highlands County,68432,47526,29507,21338,13636,9246,40114,25994,12547,8584,5277,2687
Hillsborough County,834054,646939,490265,397788,249894,180148,367740,263608,168555,135406,81372,53050
Holmes County,15778,14723,10720,10844,13988,15447,6785,5751,4082,3473,3857,3575
Indian River County,90208,59896,35992,25309,11872,8957,47128,29417,14109,9703,4615,2944
Jackson County,41375,39154,34434,36208,34645,34428,16320,14588,11379,10962,9817,8693
Jefferson County,11296,10703,8778,9543,10413,12032,4395,3843,2683,2831,2995,3067
Lafayette County,5578,4035,2892,2889,3440,4405,2266,1764,1036,1066,1066,1162
Lake County,152104,104870,69305,57383,36340,27255,75707,50511,28348,21757,12924,8994
