County,State, In-Migration , Out-Migration , Net Migration , +/- , Rank 
Rockdale,Georgia,3656.7316854097,0,3656.7316854097,5465.0146451145,258
Victoria,Texas,3825.7135299959,214.6999999993,3611.0135299966,1538.023328607,259
Bernalillo,New Mexico,3599.5953244825,0,3599.5953244825,6330.9518700413,260
Dutchess,New York,5007.6185393235,1408.1600000008,3599.4585393227,6389.6880367916,261
Strafford,New Hampshire,4548.6748783175,994.6000000044,3554.0748783132,2240.9780006001,262
Lewis,Washington,3549.9149872098,0,3549.9149872098,1782.9048031521,263
Washington,Maryland,3515.3755162723,0,3515.3755162723,2399.2220467231,264
Monroe,Pennsylvania,3485.1350295056,0,3485.1350295056,8582.9540208008,265
Clark,Washington,7377.1475861498,3983.5200000077,3393.6275861421,5381.3688464539,266
Warren,Ohio,3371.9196756355,0,3371.9196756355,1369.0572455156,267
Rankin,Mississippi,3370.2570715095,0,3370.2570715095,1349.0583456635,268
Caroline,Maryland,4533.0122985255,1163.5300000047,3369.4822985208,1910.2781775562,269
Yolo,California,3346.2218528398,0,3346.2218528398,2792.4895519455,270
Chittenden,Vermont,3342.9892913142,0,3342.9892913142,2390.8868840515,271
Allen,Louisiana,3312.7786730829,0,3312.7786730829,2063.0303699971,272
Harnett,North Carolina,3304.7775761929,0,3304.7775761929,2619.5566350798,273
Jasper,Texas,3296.2211586274,0,3296.2211586274,927.6308852331,274
Washington,Florida,3595.0309362702,343.6399999968,3251.3909362734,935.3831099969,275
Gadsden,Florida,3228.6801061755,0,3228.6801061755,1849.0817160495,276
Litchfield,Connecticut,3222.6999442544,0,3222.6999442544,4408.0147550952,277
Sedgwick,Kansas,3219.7398875536,0,3219.7398875536,2936.4564402755,278
Alexandria City,Virginia,7540.369746222,4335.1299999865,3205.2397462355,5497.4006100538,279
Androscoggin,Maine,3163.3946634018,0,3163.3946634018,1271.726712323,280
Glades,Florida,3160.24017159,0,3160.24017159,1572.3843003472,281
Henderson,North Carolina,3148.0318106393,0,3148.0318106393,3723.0176941305,282
St Clair,Illinois,3129.1286617652,0,3129.1286617652,2509.9049245259,283
Midland,Texas,3114.670805612,0,3114.670805612,458.9186383649,284
Lamar,Mississippi,3114.5771787507,0,3114.5771787507,2543.9308035972,285
Adams,Colorado,3052.8886025139,0,3052.8886025139,2916.4129333701,286
Utah,Utah,3011.4579848775,0,3011.4579848775,1759.1073312789,287
Liberty,Georgia,9704.9473377929,6741.9299999685,2963.0173378244,5006.5374509927,288
St Helena,Louisiana,2960.9477195048,0,2960.9477195048,1326.9660766436,289
Windham,Connecticut,2951.7606036209,0,2951.7606036209,1212.4742650467,290
Newton,Georgia,2919.8985151597,0,2919.8985151597,5632.4503657356,291
Tolland,Connecticut,2914.7455029976,0,2914.7455029976,2713.6632977789,292
Tulsa,Oklahoma,2906.2657252576,0,2906.2657252576,2903.8200979517,293
Smith,Texas,2891.8336160852,0,2891.8336160852,1597.622863473,294
Jackson,Oregon,2849.3744472665,0,2849.3744472665,3251.5448081595,295
Cleveland,Oklahoma,2847.0676786,0,2847.0676786,2064.9630527462,296
San Benito,California,2843.781363986,0,2843.781363986,1597.2274748093,297
Hunterdon,New Jersey,2813.9822919721,0,2813.9822919721,1554.2058195436,298
Dougherty,Georgia,2766.344592725,0,2766.344592725,1356.7922165277,299
Montgomery,Ohio,2756.6330358152,0,2756.6330358152,2631.1144855448,300
Duplin,North Carolina,2812.1212172121,67.6,2744.5212172121,227.3749895749,301
Suwannee,Florida,2701.4777045291,0,2701.4777045291,3673.5311941618,302
Butler,Ohio,2700.2474106996,0,2700.2474106996,2109.8259655629,303
Montgomery,Alabama,2683.3421151258,0,2683.3421151258,3695.0431434965,304
McLennan,Texas,2657.3984623572,0,2657.3984623572,1481.4290591393,305
Lane,Oregon,3251.9687937863,610.0499999991,2641.9187937872,1964.7562858791,306
Bradford,Florida,2629.4472247199,0,2629.4472247199,608.8816135713,307
Baker,Florida,2625.295823499,0,2625.295823499,1234.2688856905,308
Marshall,Alabama,2618.4067468698,0,2618.4067468698,1144.2809342417,309
Guadalupe,Texas,2602.6312996175,0,2602.6312996175,1403.7281300134,310
Schenectady,New York,2571.1652711883,0,2571.1652711883,1536.4134590762,311
Pickens,South Carolina,2470.0208786217,0,2470.0208786217,967.8102745054,312
Sarpy,Nebraska,2467.7330816715,0,2467.7330816715,2492.4845177873,313
Ramsey,Minnesota,2459.7057838067,0,2459.7057838067,1949.1811408186,314
Broome,New York,2457.6711848257,0,2457.6711848257,2226.1183014862,315
Hanover,Virginia,2448.245328721,0,2448.245328721,2859.4426992157,316
St Martin,Louisiana,15169.8996089953,12749.729999991,2420.1696090043,4178.1501094305,317
Geary,Kansas,2407.5545640801,0,2407.5545640801,1370.4780870037,318
Carroll,Georgia,2405.6713880591,0,2405.6713880591,669.439050662,319
Fayette,Georgia,2387.1173724247,0,2387.1173724247,3556.8908332369,320
Hardin,Kentucky,2374.782270559,0,2374.782270559,1913.7493712952,321
George,Mississippi,2366.906526453,0,2366.906526453,360.447671334,322
Lackawanna,Pennsylvania,2346.0058776753,0,2346.0058776753,2212.3113167475,323
Coryell,Texas,2342.7680744808,0,2342.7680744808,1391.5345497536,324
Florence,South Carolina,2338.4033509012,10.1,2328.3033509012,2622.794718354,325
Okeechobee,Florida,2306.2939160755,0,2306.2939160755,4589.0752239343,326
Warren,New Jersey,2295.000455762,0,2295.000455762,2019.1576451207,327
Albany,Wyoming,2284.0173367809,0,2284.0173367809,287.7648642232,328
Rockland,New York,5973.6795528942,3699.4399999957,2274.2395528985,4032.6304179003,329
Natchitoches,Louisiana,2266.6450521711,0,2266.6450521711,1167.4768174491,330
Marion,Oregon,2241.1583070165,0,2241.1583070165,1308.5321082254,331
Sussex,New Jersey,2192.7437425176,0,2192.7437425176,2404.3754778533,332
